User_ID,Date,Sleep Duration (Hours),Sleep Quality,Bedtime,Wake-up,Study/Work,Productivity Level,Exercise(Minutes),Exercise Type,Screen Time,Primary Screen Activity,Mood Score,Stress Level,Caffeine Intake (Liters),Water Intake (Liters),Habit_Score,Day_Number,Drift_Score
User_01,27/06/2026,6,6,00:00:00,07:25:00,5,6,10,Waliking,6,Mixed Usage,10,7,2,2,51.70833333,1,0
User_01,28/06/2026,6,6,00:00:00,07:25:00,5,6,10,Waliking,6,Mixed Usage,6,7,2,2,45.70833333,2,-6
User_01,29/06/2026,6,6,00:00:00,07:25:00,5,6,10,Waliking,6,Mixed Usage,7,7,2,2,47.20833333,3,1.5
User_01,30/06/2026,6,6,00:00:00,07:25:00,5,6,10,Waliking,6,Mixed Usage,5,7,2,2,44.20833333,4,-3
User_01,01/07/2026,8,10,23:50:00,07:55:00,5,5,10,Waliking,3,Mixed Usage,6,6,1,2,55.70833333,5,11.5
User_01,02/07/2026,7,8,00:30:00,07:30:00,7,7,10,Waliking,4.5,Study/Work,9,7,1,2,59.45833333,6,3.75
User_01,03/07/2026,6,6,00:00:00,07:25:00,5,6,10,Waliking,6,Mixed Usage,10,7,2,2,51.70833333,7,-7.75
User_01,04/07/2026,5,5,01:00:00,06:00:00,1,1,10,Waliking,10,Mixed Usage,6,5,2,2.5,29.875,8,-21.83333333
User_01,05/07/2026,7,6,01:00:00,07:30:00,2,4,10,Walking,7,Mixed Usage,4,7,2,3,35.125,9,5.25
User_01,06/07/2026,8,8,01:10:00,08:30:00,5,5,10,Walking,6,Mixed Usage,7,9,1,3,47.70833333,10,12.58333333
User_01,07/07/2026,9,10,23:30:00,07:30:00,7,7,15,Walking,4,Mixed Usage,6,9,1,1,57.6875,11,9.979166667
User_01,08/07/2026,8,10,01:00:00,07:30:00,5,6,10,Walking,7,Study/Work,7,10,2,2,51.375,12,-6.3125
User_01,09/07/2026,8,10,01:00:00,08:30:00,6,7,10,Walking,3,Study/Work,6,9,1,2,56.95833333,13,5.583333333
